dong_name,safety_cnt,leisure_cnt,food_cnt,health_cnt,conv_cnt,transp_cnt,cafe_cnt,pub_cnt,gu_id,dongx,dongy
당산동5가,16,7,89,33,5,19,11,2,20,37.532856,126.899187
당산동6가,94,6,121,37,12,5,11,7,20,37.534373,126.903445
당산동,27,1,33,0,6,18,6,8,20,37.528625,126.907439
도림동,227,5,126,19,11,24,22,4,20,37.509277,126.902494
문래동1가,41,0,26,1,2,3,6,0,20,37.512364,126.897201
문래동2가,44,0,141,5,2,3,8,6,20,37.513290,126.893779
문래동3가,67,11,279,44,13,21,46,5,20,37.516929,126.897249
문래동4가,51,0,69,3,1,2,8,4,20,37.515082,126.890475
문래동5가,26,1,18,0,3,6,5,0,20,37.515863,126.885676
문래동6가,39,4,62,16,6,8,11,0,20,37.519342,126.886528
양평동1가,54,1,109,4,4,10,18,2,20,37.523571,126.888814
양평동2가,47,2,91,10,6,7,10,2,20,37.524270,126.884578
양평동3가,71,6,80,6,16,13,12,0,20,37.528148,126.889731
양평동4가,64,5,214,17,7,8,22,4,20,37.537079,126.896260
양평동5가,45,4,65,12,5,6,11,1,20,37.538964,126.893422
양평동6가,24,0,15,0,4,4,0,0,20,37.542645,126.890065
양화동,7,0,1,0,1,6,0,0,20,37.545629,126.891554
신길동,1106,31,761,171,68,143,89,21,20,37.507088,126.913103
대림동,600,6,837,120,34,67,66,16,20,37.494306,126.900642
양평동,8,0,0,0,0,0,0,4,20,37.522602,126.881344
노량진동,163,12,473,55,21,38,73,26,12,37.510162,126.940418
